"","Accipiter_nisus","Aegithalos_caudatus","Alauda_arvensis","Alcedo_atthis","Anas_platyrhynchos","Anser_anser","Anser_brachyrhynchus","Ardea_cinerea","Aythya_ferina","Aythya_fuligula","Branta_canadensis","Carduelis_carduelis","Chloris_chloris","Chroicocephalus_ridibundus","Circus_aeruginosus","Columba_livia","Columba_oenas","Columba_palumbus","Corvus_corone","Corvus_monedula","Cyanistes_caeruleus","Cygnus_olor","Dendrocopos_major","Egretta_garzetta","Emberiza_schoeniclus","Erithacus_rubecula","Falco_tinnunculus","Fringilla_coelebs","Fulica_atra","Gallinula_chloropus","Larus_argentatus","Larus_canus","Larus_fuscus","Mareca_penelope","Mareca_strepera","Mergus_merganser","Motacilla_alba","Numenius_arquata","Parus_major","Passer_domesticus","Periparus_ater","Phalacrocorax_carbo","Phasianus_colchicus","Pica_pica","Prunella_modularis","Pyrrhula_pyrrhula","Rallus_aquaticus","Regulus_regulus","Spatula_clypeata","Spinus_spinus","Streptopelia_decaocto","Sturnus_vulgaris","Tachybaptus_ruficollis","Tringa_totanus","Troglodytes_troglodytes","Turdus_iliacus","Turdus_merula","Turdus_philomelos","Turdus_viscivorus","Vanellus_vanellus"
"1_Yes",0,4,0,0,10,8,127,0,0,0,0,12,3,50,0,5,1,27,14,0,2,0,0,0,0,3,0,0,6,15,12,4,0,0,0,0,0,0,5,0,0,0,0,4,2,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0
"10_Yes",0,4,1,0,28,5,0,0,0,0,0,3,0,14,1,0,0,4,11,0,5,0,2,7,1,8,1,1,4,2,2,8,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,34
"11_No",0,0,0,0,0,0,0,0,0,0,0,3,0,31,0,5,0,26,23,1,7,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,2,23,0,0,0,5,0,0,0,0,0,0,2,32,0,0,0,0,3,0,0,0
"12_Yes",0,3,0,0,2,0,0,1,0,0,0,12,0,15,0,2,0,24,11,0,7,2,0,0,0,5,0,0,0,6,2,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,45,0,0,0,10,2,0,0,0
"13_Yes",0,0,0,0,4,9,0,0,0,0,53,5,0,98,0,6,0,22,25,0,11,0,0,0,0,1,0,1,1,0,21,9,3,0,0,0,0,0,7,0,0,1,0,6,0,0,0,0,0,0,0,1,0,2,1,0,4,0,0,0
"14_No",0,6,0,0,8,6,0,0,0,0,0,10,1,11,0,15,1,40,16,0,16,0,0,0,0,3,0,2,0,0,8,0,0,0,0,0,0,0,10,6,2,0,0,1,1,0,0,0,0,7,2,11,0,0,0,0,6,0,0,0
"15_Yes",0,0,0,0,31,31,0,0,0,10,0,18,0,90,0,2,3,17,32,0,6,6,0,0,0,6,0,2,28,15,5,18,0,0,0,10,0,0,4,2,1,0,0,2,0,0,0,1,0,0,0,54,0,0,3,0,2,0,0,0
"16_No",0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,54,0,30,6,0,6,0,0,0,0,8,0,0,0,0,2,4,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,1,0,3,0,0,1,0,7,0,0,0
"17_Yes",0,0,0,1,52,4,0,1,1,8,0,6,0,22,0,17,0,7,19,0,3,1,0,0,0,9,1,1,0,2,19,0,0,0,5,1,0,0,7,0,0,3,1,1,2,0,1,0,7,0,1,2,2,0,2,0,1,0,0,0
"18_No",0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,29,0,42,6,1,13,0,0,0,0,8,0,4,0,0,14,0,0,0,0,0,0,0,9,11,0,0,0,5,5,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0
"19_No",0,1,0,0,0,0,0,0,0,0,0,1,0,41,0,16,0,25,8,0,10,0,0,0,0,16,0,3,0,0,0,4,0,0,0,0,0,0,3,7,0,0,0,7,3,0,0,0,0,0,3,5,0,0,2,0,12,0,0,0
