area,id
198486.214154493995011,"1"
192616.739154383278219,"4"
204274.780451877275482,"3"
199838.572822231624741,"6"
198443.917031553806737,"5"
197680.114133446360938,"8"
200133.430556431412697,"7"
199975.865533397533000,"9"
188198.601522432407364,"10"
200116.854744520154782,"12"
199601.341347027453594,"13"
203407.063970461953431,"14"
196035.896592809178401,"15"
199949.371870151488110,"17"
199698.817741479258984,"18"
198618.399837488774210,"20"
197385.287745390785858,"19"
185854.913390858040657,"22"
187096.952011933783069,"21"
184666.919556825887412,"16"
192976.445465762983076,"2"
200516.395067097619176,"11"
