species,total_count,water_present_yes,water_present_no,frequency_detected,percentage,water_yes_percentage,water_no_percentage
Barn Swallow,56,25,5,30,0.3807451726951319,83.33333333333334,16.666666666666664
Black-headed Gull,609,56,31,87,4.140603753059559,64.36781609195403,35.63218390804598
Canada Goose,513,23,0,23,3.4878977427250475,100,0
Carrion Crow,877,207,165,372,5.962741365243405,55.64516129032258,44.354838709677416
Cetti's Warbler,2,1,1,2,0.013598041881968996,50,50
Coal Tit,17,6,9,15,0.11558335599673648,40,60
Common Buzzard,2,2,0,2,0.013598041881968996,100,0
Common Chaffinch,169,77,66,143,1.14903453902638,53.84615384615385,46.15384615384615
Common Chiffchaff,124,56,52,108,0.8430785966820777,51.85185185185185,48.148148148148145
Common Gull,196,25,27,52,1.3326081044329616,48.07692307692308,51.92307692307693
Common House-Martin,102,13,14,27,0.6935001359804188,48.148148148148145,51.85185185185185
Common Kingfisher,3,2,0,2,0.020397062822953494,100,0
Common Merganser,13,5,0,5,0.08838727223279848,100,0
Common Pochard,1,1,0,1,0.006799020940984498,100,0
Common Redshank,33,3,0,3,0.2243676910524884,100,0
Common Swift,167,22,23,45,1.135436497144411,48.888888888888886,51.11111111111111
Common Wood-Pigeon,2053,361,352,713,13.958389991841175,50.63113604488079,49.36886395511921
Dunnock,164,60,66,126,1.1150394343214578,47.61904761904761,52.38095238095239
Eurasian Blackbird,658,169,191,360,4.4737557791678,46.94444444444444,53.05555555555556
Eurasian Blackcap,122,58,47,105,0.8294805548001087,55.23809523809524,44.761904761904766
Eurasian Blue Tit,382,105,119,224,2.5972259994560782,46.875,53.125
Eurasian Bullfinch,18,5,5,10,0.12238237693772097,50,50
Eurasian Collared-Dove,113,26,59,85,0.7682893663312482,30.58823529411765,69.41176470588235
Eurasian Coot,203,49,1,50,1.3802012510198531,98,2
Eurasian Curlew,2,2,0,2,0.013598041881968996,100,0
Eurasian Green Woodpecker,1,1,0,1,0.006799020940984498,100,0
Eurasian Jackdaw,30,6,12,18,0.20397062822953496,33.33333333333333,66.66666666666666
Eurasian Kestrel,9,6,3,9,0.061191188468860486,66.66666666666666,33.33333333333333
Eurasian Linnet,63,21,3,24,0.42833831928202337,87.5,12.5
Eurasian Magpie,324,96,107,203,2.2028827848789776,47.29064039408867,52.70935960591133
Eurasian Marsh-Harrier,1,1,0,1,0.006799020940984498,100,0
Eurasian Moorhen,119,54,3,57,0.8090834919771552,94.73684210526315,5.263157894736842
Eurasian Reed Warbler,59,32,4,36,0.4011422355180854,88.88888888888889,11.11111111111111
Eurasian Siskin,17,3,3,6,0.11558335599673648,50,50
Eurasian Skylark,9,6,1,7,0.061191188468860486,85.71428571428571,14.285714285714285
Eurasian Sparrowhawk,12,4,7,11,0.08158825129181398,36.36363636363637,63.63636363636363
Eurasian Treecreeper,1,1,0,1,0.006799020940984498,100,0
Eurasian Wigeon,19,2,0,2,0.12918139787870547,100,0
Eurasian Wren,458,159,140,299,3.1139515909709004,53.17725752508361,46.82274247491639
European Goldfinch,648,135,135,270,4.405765569757955,50,50
European Greenfinch,73,36,24,60,0.4963285286918684,60,40
European Robin,396,138,132,270,2.6924122926298613,51.11111111111111,48.888888888888886
European Starling,913,105,134,239,6.207506119118847,43.93305439330544,56.06694560669456
Gadwall,7,3,0,3,0.04759314658689149,100,0
Goldcrest,10,5,4,9,0.06799020940984499,55.55555555555556,44.44444444444444
Gray Heron,5,4,1,5,0.033995104704922494,80,20
Gray Wagtail,1,1,0,1,0.006799020940984498,100,0
Graylag Goose,1435,44,2,46,9.756595050312756,95.65217391304348,4.3478260869565215
Great Cormorant,8,6,1,7,0.054392167527875984,85.71428571428571,14.285714285714285
Great Crested Grebe,2,1,0,1,0.013598041881968996,100,0
Great Spotted Woodpecker,12,8,3,11,0.08158825129181398,72.72727272727273,27.27272727272727
Great Tit,261,94,85,179,1.7745444655969542,52.513966480446925,47.486033519553075
Greater Whitethroat,57,36,7,43,0.38754419363611636,83.72093023255815,16.27906976744186
Herring Gull,413,121,99,220,2.807995648626598,55.00000000000001,45
House Sparrow,404,55,97,152,2.7468044601577373,36.18421052631579,63.81578947368421
Lesser Black-backed Gull,206,60,54,114,1.4005983138428066,52.63157894736842,47.368421052631575
Lesser Whitethroat,3,1,1,2,0.020397062822953494,50,50
Little Egret,7,1,0,1,0.04759314658689149,100,0
Little Grebe,4,2,0,2,0.027196083763937992,100,0
Long-tailed Tit,108,23,25,48,0.7342942616263258,47.91666666666667,52.083333333333336
Mallard,553,85,4,89,3.759858580364427,95.50561797752809,4.49438202247191
Mistle Thrush,5,5,0,5,0.033995104704922494,100,0
Mute Swan,45,23,0,23,0.3059559423443024,100,0
Northern Lapwing,34,1,0,1,0.23116671199347297,100,0
Northern Shoveler,7,1,0,1,0.04759314658689149,100,0
Pink-footed Goose,164,1,2,3,1.1150394343214578,33.33333333333333,66.66666666666666
Redwing,13,4,0,4,0.08838727223279848,100,0
Reed Bunting,21,14,0,14,0.14277943976067448,100,0
Ring-necked Pheasant,6,6,0,6,0.04079412564590699,100,0
Rock Pigeon,966,127,137,264,6.567854228991026,48.10606060606061,51.89393939393939
Rook,3,1,2,3,0.020397062822953494,33.33333333333333,66.66666666666666
Rose-ringed Parakeet,8,4,0,4,0.054392167527875984,100,0
Sedge Warbler,18,15,0,15,0.12238237693772097,100,0
Song Thrush,63,36,24,60,0.42833831928202337,60,40
Stock Dove,27,16,4,20,0.18357356540658146,80,20
Tufted Duck,56,13,0,13,0.3807451726951319,100,0
Water Rail,1,1,0,1,0.006799020940984498,100,0
White Wagtail,12,5,5,10,0.08158825129181398,50,50
Willow Warbler,12,10,1,11,0.08158825129181398,90.9090909090909,9.090909090909092
