area,id,priFunc
"13129.099226709199","12",building
"10571.102178406833","22",road
"39906.11360872827","17",grass
"17559.003682041577","6",saltmarsh
"6341.06036725481","20",building
"51441.12035458778","22",impervious
"69069.34945398824","12",grass
"104210.01906526014","20",grass
"17838.961800263227","13",garden
"55890.36985869304","22",tidal
"2084.2490844146187","13",foreshore
"10835.049821721012","3",road
"50977.68668904586","3",water
"19478.273857235807","16",impervious
"108.80652880296111","11",water
"12667.529919132972","17",road
"9117.260322204602","8",garden
"14696.472079449744","11",impervious
"110.76311346143484","14",water
"12673.470559910598","8",road
"19495.61714631157","16",building
"3599.014962084824","10",reeds
"27404.16352001232","17",garden
"51052.75783699681","14",tree
"5888.0017048057225","20",road
"16574.534169704944","13",impervious
"5272.843464870134","11",tree
"16701.83142708031","20",garden
"42497.312468187854","2",grass
"2360.86244624144","19",rough
"15311.565959691472","21",building
"10796.67932489307","6",grass
"57.26155518398511","17",crop
"48428.87511537012","4",rough
"14394.415006744095","1",garden
"5211.096768465294","1",riparian
"2148.75036724066","19",water
"46287.611622285505","14",garden
"2004.316201777163","8",crop
"20011.384179181638","18",road
"63362.13497009142","18",grass
"14346.774709098436","13",building
"23208.365722756957","22",foreshore
"11154.807255588947","4",road
"16918.952869892426","1",road
"6516.409048725104","17",impervious
"10410.735869180178","12",water
"7018.090139531585","15",road
"35790.424204055234","2",impervious
"3210.233775137366","8",riparian
"30119.672231811663","10",rough
"6682.279597591232","20",impervious
"17295.02693802997","6",road
"13704.398064400277","13",tidal
"28849.060278137702","12",tree
"22086.724763816223","15",water
"32740.180158193536","9",tree
"17033.486170098557","4",building
"9370.986274024059","8",rough
"8590.27946073516","12",rough
"39657.90279215733","21",tree
"27187.458789791082","21",garden
"17243.865401364397","6",tidal
"9560.09344562015","8",water
"9868.437843615091","17",building
"25022.753556399228","2",road
"36895.2585588702","18",garden
"68276.25324950539","19",tree
"12073.753287630901","17",tidal
"51385.80095503585","3",grass
"18367.595171511504","16",road
"11739.496278194505","3",building
"4662.865397196656","13",road
"6816.147387589396","3",impervious
"54187.98135178683","7",impervious
"47230.847929096366","7",grass
"28686.544192569287","7",building
"45607.97012034242","21",grass
"50747.205360958666","19",grass
"36138.21099026561","2",garden
"40333.558406724726","11",garden
"10852.138944961604","4",grass
"31592.020775476445","7",tree
"99821.2353591104","10",tree
"10084.68950113843","8",building
"84767.30285906694","13",grass
"35556.08934518706","21",impervious
"298.6520960209891","10",building
"778.0579579740532","22",tree
"27684.418754164984","18",impervious
"13409.051826179028","11",rough
"5469.973822541302","1",allotment
"19450.274090950043","10",grass
"36258.260440662896","6",impervious
"19364.5196738898","10",crop
"14970.81983129678","9",garden
"58924.13606701614","5",garden
"23185.487501957334","18",building
"11997.903617752567","14",road
"40845.936930188356","3",tree
"62055.27849379987","15",grass
"2382.0513895228505","14",allotment
"32920.541400078706","19",garden
"7973.856413423081","14",impervious
"53903.05756953943","17",tree
"42154.5359184626","8",grass
"17787.25512972859","22",garden
"19719.568968426764","11",road
"18974.037263598435","14",building
"86450.08182909811","8",tree
"43405.63531803961","5",tree
"16513.99681021927","20",tree
"64627.31231967591","14",grass
"15784.470579796098","22",building
"9591.416599852102","6",building
"30387.293188850563","2",building
"11069.20138919875","17",rough
"12468.861143619462","1",water
"39312.74820659766","5",grass
"5250.164166518174","22",grass
"39450.46563943793","20",rough
"16664.121203287086","15",garden
"15437.478350169584","19",impervious
"1949.167750473839","11",crop
"12004.802538618213","17",water
"28560.13374617913","18",tree
"2830.7445260713575","20",water
"44829.16044971006","1",tree
"59426.75010912947","16",grass
"18728.800038987436","11",building
"33725.855809376124","4",tree
"1300.0050073654115","17",foreshore
"19637.784185509627","9",road
"16310.757920870505","12",road
"39702.51231064469","12",garden
"13480.679736245835","19",building
"56934.636478749155","6",foreshore
"13044.25446665795","5",building
"11105.468974789073","13",reeds
"18612.379943656866","21",road
"76420.33776051278","15",tree
"24511.869519936838","1",building
"13696.88167626859","10",water
"86298.12472742263","11",grass
"47163.81879282507","4",garden
"12987.266745006702","9",impervious
"34159.68524331251","6",tree
"40325.211482472296","1",impervious
"19984.096637118273","5",impervious
"251.1158606225356","10",impervious
"2120.7111278516886","12",riparian
"5083.45698581703","15",impervious
"110905.4490245679","9",grass
"12019.38424325761","19",road
"23773.04572323061","5",road
"8734.365937160499","9",building
"13331.956205666418","4",impervious
"13031.143113345443","8",impervious
"13178.728928426422","17",reeds
"5144.005727999145","22",saltmarsh
"6707.887692671587","15",building
"11926.116013290864","12",impervious
"22577.880113718787","7",garden
"31677.608066002434","3",garden
"23140.450905020312","2",tree
"49563.34733012893","16",garden
"14337.981619585651","7",road
"10920.909571846249","4",allotment
"1520.1754284526687","7",water
"34356.672129699","1",grass
"1597.233583085724","10",road
"18335.416406397202","16",tree
"34516.7857216544","13",tree
"5163.585584653076","21",water
