common_name,transect,transect_section,OBs,day,month,year,period,start_time,end_time,cloud,rain,wind,visibility,water,level_1_habitat,level_2_habitat,level_3_habitat,level_4_habitat,count,notes,Region.Label,...1,species,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,size_class,bocc5,...36,distbegin,distend,Factor,true_counts
Barn Swallow,22,1,Africa Gomez,12,5,2024,3,06:58:00,07:26:00,1,1,1,1,Yes,F,1,1,1,1,NA,open,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA,0,25,0.225,4.444444444444445
Barn Swallow,7,9,Matthew Morgan,6,5,2024,3,07:58:00,08:36:00,1,1,1,1,No,F,1,7,8,1,NA,closed,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA,0,25,0.163,6.134969325153374
Barn Swallow,17,8,Matthew Morgan,3,5,2024,3,07:40:00,08:22:00,2,1,1,1,Yes,G,7,6,7,2,NA,semi,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA,0,25,0.179,11.1731843575419
Barn Swallow,17,9,Matthew Morgan,3,5,2024,3,07:40:00,08:22:00,2,1,1,1,Yes,G,7,6,7,2,NA,open,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA,0,25,0.225,8.88888888888889
Black-headed Gull,1,6,Africa Gomez,28,1,2024,2,09:41:00,10:19:00,1,1,1,1,Yes,F,1,3,3,3,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.238,12.605042016806724
Black-headed Gull,15,1,Africa Gomez,3,2,2024,2,09:09:00,09:51:00,3,1,1,1,Yes,F,1,3,3,68,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.269,252.7881040892193
Black-headed Gull,3,4,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,14,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,52.04460966542751
Black-headed Gull,3,4,Matthew Morgan,1,2,2024,2,09:05:00,09:45:00,2,1,1,1,Yes,F,1,3,5,2,NA,open,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.269,7.434944237918216
Black-headed Gull,1,10,Africa Gomez,28,1,2024,2,09:41:00,10:19:00,1,1,1,1,Yes,F,1,3,3,17,NA,closed,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,0,25,0.258,65.89147286821705
Black-headed Gull,6,4,Matthew Morgan,13,6,2023,1,06:55:00,07:40:00,1,1,1,1,Yes,H,3,6,6,1,NA,semi,2,Chroicocephalus ridibundus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,NA,25,100,0.238,4.201680672268908
