transect,transect_section,detectability
1,6,semi
1,7,closed
1,8,closed
1,9,closed
1,10,closed
2,1,semi
2,2,closed
2,3,closed
2,4,semi
2,5,semi
3,1,open
3,2,open
3,3,open
3,4,open
3,5,open
4,6,semi
4,7,semi
4,8,open
4,9,open
4,10,closed
5,6,semi
5,7,semi
5,8,semi
5,9,semi
5,10,closed
6,1,semi
6,2,semi
6,3,semi
6,4,semi
6,5,semi
7,6,open
7,7,semi
7,8,semi
7,9,closed
7,10,closed
8,1,open
8,2,semi
8,3,semi
8,4,closed
8,5,closed
9,6,semi
9,7,semi
9,8,semi
9,9,semi
9,10,semi
10,1,semi
10,2,semi
10,3,semi
10,4,closed
10,5,open
11,6,semi
11,7,closed
11,8,closed
11,9,semi
11,10,semi
12,1,semi
12,2,semi
12,3,semi
12,4,semi
12,5,semi
13,1,semi
13,2,semi
13,3,semi
13,4,semi
13,5,semi
14,6,closed
14,7,closed
14,8,closed
14,9,closed
14,10,semi
15,1,open
15,2,open
15,3,open
15,4,semi
15,5,semi
16,6,closed
16,7,closed
16,8,semi
16,9,semi
16,10,semi
17,6,open
17,7,semi
17,8,semi
17,9,open
17,10,open
18,1,closed
18,2,semi
18,3,semi
18,4,semi
18,5,semi
19,1,semi
19,2,closed
19,3,closed
19,4,semi
19,5,semi
20,6,open
20,7,open
20,8,semi
20,9,semi
20,10,semi
21,6,semi
21,7,semi
21,8,semi
21,9,semi
21,10,semi
22,1,open
22,2,open
22,3,semi
22,4,semi
22,5,semi
