,common_name,transect,transect_section,observer,day,month,year,period,start_time,end_time,cloud,rain,wind,visibility,water,level_1_habitat,level_2_habitat,level_3_habitat,level_4_habitat,count,distance_code,notes,Region.Label,...1,species,Family2,Order2,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,size_class,bocc5,...36
1,Barn Swallow,1,7,Africa Gomez,8,6,2024,4,07:37:00,08:11:00,3,1,1,1,Yes,F,1,3,3,1,4,NA,closed,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
2,Barn Swallow,3,1,Matthew Morgan,7,5,2024,3,07:05:00,07:42:00,3,1,1,1,Yes,F,1,3,5,1,4,NA,open,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
3,Barn Swallow,22,1,Africa Gomez,12,5,2024,3,06:58:00,07:26:00,1,1,1,1,Yes,F,1,1,1,1,1,NA,open,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
4,Barn Swallow,1,6,Africa Gomez,13,6,2023,1,07:31:00,07:58:00,1,1,1,1,Yes,F,1,3,3,1,4,NA,semi,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
5,Barn Swallow,20,7,Matthew Morgan,15,6,2023,1,08:02:00,09:00:00,1,1,1,1,Yes,F,1,3,6,1,4,NA,open,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
6,Barn Swallow,7,9,Matthew Morgan/Africa Gomez,14,6,2023,1,07:49:00,08:28:00,1,1,1,1,No,F,1,7,8,1,4,NA,closed,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
7,Barn Swallow,3,5,Matthew Morgan,19,6,2024,4,07:11:00,08:01:00,1,1,1,1,Yes,F,1,3,5,2,4,NA,open,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
8,Barn Swallow,7,9,Matthew Morgan,18,6,2024,4,07:56:00,08:26:00,1,1,1,1,No,F,1,7,8,2,4,NA,closed,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
9,Barn Swallow,10,5,Matthew Morgan,17,6,2023,1,07:10:00,08:06:00,1,1,1,1,Yes,F,1,3,8,2,4,NA,open,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
10,Barn Swallow,12,5,Matthew Morgan,2,5,2024,3,06:58:00,07:48:00,1,1,1,1,Yes,G,8,8,10,2,4,NA,semi,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
11,Barn Swallow,14,8,Matthew Morgan,1,5,2024,3,08:01:00,08:48:00,3,1,1,1,No,F,1,3,8,1,4,NA,closed,1,Hirundo rustica,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,NA
