,common_name,species,genus,family,order,Avibase.ID2,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,size_class,bocc5,
1,Barn Swallow,Hirundo rustica,Hirundo ,Hirundinidae,Passeriformes,AVIBASE-58C502EA,68,23,24,21,10,12.4,6,4.5,2.7,11.7,115.8,62.3,56,52.6,70.4,17.9,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,green,
2,Black-headed Gull,Chroicocephalus ridibundus,Chroicocephalus,Laridae,Charadriiformes,AVIBASE-FB02DD96,14,6,8,0,4,43.4,16.3,4,7.9,41.4,291.2,169.9,120.2,58.6,109.8,284,Dunning,NA,NO,NA,NA,Wetland,3,2,Carnivore,Aquatic predator,Generalist,medium,amber,
3,Canada Goose,Branta canadensis,Branta,Anatidae,Anseriformes,AVIBASE-B59E1863,10,5,3,2,8,50,28.2,19.9,15.3,73.3,422.9,206.5,210.9,49.4,121.6,2811.7,Dunning,NA,NO,NA,NA,Grassland,3,3,Herbivore,Herbivore terrestrial,Terrestrial,large,green,bocc5 na
4,Carrion Crow,Corvus corone,Corvus,Corvidae,Passeriformes,AVIBASE-26FB62DA,9,4,5,0,0,55.3,35.9,13.7,18.6,59.1,333.5,119.3,214,35.8,192.9,570,Dunning,NA,YES,Beak Nares,Corvus corone (sensu lato),Human Modified,3,1,Carnivore,Omnivore,Terrestrial,large,green,
5,Cetti's Warbler,Cettia cetti,Cettia,Scotocercidae,Passeriformes,AVIBASE-F3E9CE95,17,8,9,0,4,14.3,7.6,2.4,3,20.3,60.6,8.7,51.9,14.3,58.2,13.2,Dunning,NA,NO,NA,NA,Shrubland,2,1,Carnivore,Invertivore,Generalist,small,green,
6,Coal Tit,Periparus ater,Periparus,Paridae,Passeriformes,AVIBASE-166CD440,26,13,13,0,4,10.7,6.3,3,3.6,15.1,61.1,13.4,47.9,21.9,46.4,9.2,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,small,green,
7,Common Buzzard,Buteo buteo,Buteo,Accipitridae,Accipitriformes,AVIBASE-3C6D4915,18,6,10,2,9,35.9,22.1,12.6,16.6,75.8,383.2,147.2,237.2,38.3,214.4,759.1,Dunning,NA,NO,NA,NA,Grassland,3,2,Carnivore,Vertivore,Insessorial,large,green,
8,Common Chaffinch,Fringilla coelebs,Fringilla,Fringillidae,Passeriformes,AVIBASE-37F52281,22,11,11,0,4,14.7,9.8,5.5,6.7,17.8,85.9,23.7,62.2,27.6,65.9,23.8,Dunning,NA,NO,NA,NA,Forest,2,2,Omnivore,Invertivore,Generalist,small,green,
9,Common Chiffchaff,Phylloscopus collybita,Phylloscopus,Phylloscopidae,Passeriformes,AVIBASE-F9F4B04D,17,8,9,0,4,11.6,6,2.3,2.2,19.7,58.8,10.8,47.7,18.4,48.5,8.3,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Invertivore,Insessorial,small,green,
10,Common Gull,Larus canus,Larus,Laridae,Charadriiformes,AVIBASE-00DA9D91,10,4,4,2,4,47.8,16.6,5.5,10.1,49.4,351,206.2,145.9,58.6,133.8,412.5,Dunning,NA,NO,NA,NA,Coastal,3,3,Carnivore,Omnivore,Terrestrial,large,amber,
11,Common House-Martin,Delichon urbicum,Delichon,Hirundinidae,Passeriformes,AVIBASE-E4BB82F5,33,18,15,0,4,10.7,4.8,3.7,2.9,11.3,108.1,58.9,49.5,54.3,61.3,14.5,Dunning,NA,NO,NA,NA,Human Modified,3,3,Carnivore,Invertivore,Aerial,small,red,
12,Common Kingfisher,Alcedo atthis,Alcedo,Alcedinidae,Coraciiformes,AVIBASE-9505E03D,12,2,4,6,4,42.2,32.5,5.7,7.4,9.9,73.3,19.3,52.6,26.9,32.3,31.1,Dunning,NA,NO,NA,NA,Riverine,2,1,Carnivore,Aquatic predator,Insessorial,medium,green,
13,Common Merganser,Mergus merganser,Mergus ,Anatidae,Anseriformes,AVIBASE-407E2CA8,13,6,7,0,4,69.4,38.4,10.4,11.7,50.9,270.8,123.8,145.7,46,107.2,1451,Dunning,NA,NO,NA,NA,Riverine,3,3,Carnivore,Aquatic predator,Aquatic,large,green,
14,Common Pochard,Aythya ferina,Aythya,Anatidae,Anseriformes,AVIBASE-A96692E0,9,4,5,0,4,50.5,30.5,17.9,13.7,35,208.6,104.4,104.2,50.1,53.7,823,Dunning,NA,NO,NA,NA,Wetland,3,1,Herbivore,Herbivore aquatic,Aquatic,large,red,
15,Common Redshank,Tringa totanus,Tringa,Scolopacidae,Charadriiformes,AVIBASE-D6BFC73A,9,4,5,0,4,45.1,31.1,3.4,4.9,47.3,156.9,74.1,82.8,47.2,64.1,129,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,medium,amber,
16,Common Swift,Apus apus,Apus,Apodidae,Caprimulgiformes,AVIBASE-4E6EF3F9,16,9,7,0,3,10.2,4.3,4,2.8,8.8,161.3,120.2,48.1,71.6,67.4,37.6,Dunning,NA,NO,NA,NA,Human Modified,1,3,Carnivore,Invertivore,Aerial,medium,red,
17,Common Wood-Pigeon,Columba palumbus,Columba,Columbidae,Columbiformes,AVIBASE-760F307A,14,7,7,0,4,27.8,13.1,8,7.8,31.5,246.4,101.4,145,41.2,153.2,490,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Omnivore,Terrestrial,large,amber,
18,Dunnock,Prunella modularis,Prunella,Prunellidae,Passeriformes,AVIBASE-26530C86,25,7,15,3,9,14,7.8,3.7,3.6,20.4,69.1,14.7,54.5,21.2,59.6,20.2,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Invertivore,Terrestrial,small,amber,
19,Eurasian Blackbird,Turdus merula,Turdus,Turdidae,Passeriformes,AVIBASE-88BB4F2A,56,27,26,3,6,28.5,15.5,5.3,7.5,33.6,128.4,29.8,98.6,23.1,106.3,102.7,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Generalist,medium,green,
20,Eurasian Blackcap,Sylvia atricapilla,Sylvia,Sylviidae,Passeriformes,AVIBASE-61F9065B,21,10,11,0,4,15.2,7.2,3.2,3.4,20.8,75.9,20.5,55.4,27,62.2,16.7,Dunning,NA,NO,NA,NA,Woodland,1,3,Omnivore,Omnivore,Insessorial,small,green,
21,Eurasian Blue Tit,Cyanistes caeruleus,Cyanistes,Paridae,Passeriformes,AVIBASE-9BE53D34,17,8,9,0,4,9.7,5.8,3.2,4.2,15.2,65.6,13.8,51.8,21,51.4,11.1,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,small,green,
22,Eurasian Bullfinch,Pyrrhula pyrrhula,Pyrrhula,Fringillidae,Passeriformes,AVIBASE-24764DC7,21,10,11,0,4,13.1,8.6,8.2,9,18,88.6,22.1,66.7,24.9,68.3,24.3,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Insessorial,small,amber,
23,Eurasian Collared-Dove,Streptopelia decaocto,Streptopelia,Columbidae,Columbiformes,AVIBASE-41FACE63,14,5,6,3,8,21.5,9.6,3.8,4.2,22.1,174.6,62.7,111.2,36.1,132.3,149,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Omnivore,Terrestrial,medium,green,
24,Eurasian Coot,Fulica atra,Fulica,Rallidae,Gruiformes,AVIBASE-B682B2A9,9,5,4,0,4,37.7,16.5,5.6,10.5,57,198.2,78.6,120,39.6,53.9,717.1,Dunning,NA,NO,NA,NA,Wetland,3,1,Herbivore,Herbivore aquatic,Generalist,large,green,
25,Eurasian Curlew,Numenius arquata,Numenius,Scolopacidae,Charadriiformes,AVIBASE-3BB5CBA6,9,4,4,1,4,145.8,122.5,8.9,9.7,82.7,292.2,155.9,137.2,53.2,111.3,803,Dunning,NA,NO,NA,NA,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,large,red,
